6,1.35,39.239227, -81.545780,665,08/13/2018,11:19:08,216.600000,26.456420
6,1.35,39.239305, -81.545708,700,08/13/2018,11:19:09,217.000000,24.661204
6,1.35,39.239377, -81.545637,706,08/13/2018,11:19:10,217.500000,23.372331
6,1.35,39.239442, -81.545567,736,08/13/2018,11:19:11,218.000000,21.231881
6,1.35,39.239487, -81.545518,751,08/13/2018,11:19:12,218.500000,15.029180
6,1.35,39.239513, -81.545493,760,08/13/2018,11:19:13,218.900000,8.688385
6,1.35,39.239518, -81.545490,780,08/13/2018,11:19:14,219.300000,4.165822
6,1.35,39.239517, -81.545497,796,08/13/2018,11:19:15,219.500000,0.115078
6,1.35,39.239518, -81.545497,814,08/13/2018,11:19:16,220.000000,0.138094
6,1.35,39.239535, -81.545483,825,08/13/2018,11:19:17,220.300000,4.395977
6,1.35,39.239572, -81.545483,825,08/13/2018,11:19:18,220.800000,11.841521
6,1.40,39.239627, -81.545500,854,08/13/2018,11:19:19,221.100000,15.213304
6,1.35,39.239682, -81.545553,874,08/13/2018,11:19:20,221.300000,17.215661
6,1.35,39.239737, -81.545622,886,08/13/2018,11:19:21,221.700000,18.826752
6,1.35,39.239795, -81.545700,884,08/13/2018,11:19:22,222.100000,21.519576
6,1.35,39.239862, -81.545795,919,08/13/2018,11:19:23,222.400000,25.811983
6,1.35,39.239938, -81.545902,913,08/13/2018,11:19:24,222.500000,28.654408
7,1.12,39.240018, -81.546020,941,08/13/2018,11:19:25,222.000000,30.426609
7,1.12,39.240103, -81.546147,947,08/13/2018,11:19:26,221.900000,31.439295
7,1.12,39.240280, -81.546410,1,08/13/2018,11:19:28,221.900000,33.061894
7,1.12,39.240373, -81.546547,1,08/13/2018,11:19:29,222.000000,34.569415
7,1.12,39.240467, -81.546685,16,08/13/2018,11:19:30,222.000000,35.317421
8,1.09,39.240562, -81.546822,14,08/13/2018,11:19:31,222.100000,34.972187
8,1.09,39.240657, -81.546960,42,08/13/2018,11:19:32,222.200000,34.926156
8,1.09,39.240748, -81.547098,67,08/13/2018,11:19:33,222.200000,34.914649
8,1.09,39.240842, -81.547238,82,08/13/2018,11:19:34,221.900000,34.972187
8,1.09,39.240933, -81.547377,97,08/13/2018,11:19:35,221.600000,34.983695
8,1.09,39.241025, -81.547515,96,08/13/2018,11:19:36,221.100000,34.937664
7,1.15,39.241118, -81.547655,97,08/13/2018,11:19:37,220.300000,34.937664
8,1.03,39.241210, -81.547790,130,08/13/2018,11:19:38,219.900000,34.903141
8,1.03,39.241300, -81.547928,140,08/13/2018,11:19:39,219.600000,34.845602
8,1.09,39.241392, -81.548065,172,08/13/2018,11:19:40,219.300000,34.799571
8,1.09,39.241482, -81.548203,183,08/13/2018,11:19:41,219.000000,34.776555
8,1.03,39.241573, -81.548342,203,08/13/2018,11:19:42,218.900000,34.776555
8,1.09,39.241663, -81.548480,195,08/13/2018,11:19:43,218.600000,34.776555
8,1.09,39.241753, -81.548620,239,08/13/2018,11:19:44,218.400000,34.811078
8,1.09,39.241843, -81.548760,245,08/13/2018,11:19:45,218.100000,34.845602
8,1.09,39.241933, -81.548900,260,08/13/2018,11:19:46,217.900000,35.041234
8,1.03,39.242025, -81.549038,291,08/13/2018,11:19:47,217.600000,35.121789
8,1.03,39.242117, -81.549178,306,08/13/2018,11:19:48,217.500000,35.432499
8,1.03,39.242210, -81.549320,298,08/13/2018,11:19:49,217.200000,35.639640
8,1.09,39.242302, -81.549462,323,08/13/2018,11:19:50,217.000000,35.639640
7,1.20,39.242393, -81.549602,352,08/13/2018,11:19:51,216.900000,35.547577
8,1.09,39.242485, -81.549743,368,08/13/2018,11:19:52,216.900000,35.363452
8,1.09,39.242577, -81.549882,404,08/13/2018,11:19:53,216.900000,35.536069
8,1.03,39.242670, -81.550025,418,08/13/2018,11:19:54,217.100000,37.216207
8,1.03,39.242763, -81.550167,410,08/13/2018,11:19:55,217.400000,34.419813
8,1.03,39.242852, -81.550305,450,08/13/2018,11:19:56,217.700000,35.041234
8,1.03,39.242943, -81.550447,472,08/13/2018,11:19:57,218.000000,35.282898
8,1.03,39.243037, -81.550590,481,08/13/2018,11:19:58,218.500000,36.295584
8,1.03,39.243132, -81.550735,519,08/13/2018,11:19:59,219.000000,36.341615
8,1.03,39.243227, -81.550878,536,08/13/2018,11:20:00,219.400000,35.996381
8,1.09,39.243322, -81.551025,546,08/13/2018,11:20:01,219.800000,37.216207
8,1.03,39.243418, -81.551173,556,08/13/2018,11:20:02,220.200000,37.883659
8,1.03,39.243515, -81.551322,574,08/13/2018,11:20:03,220.800000,36.813435
8,1.03,39.243612, -81.551468,590,08/13/2018,11:20:04,221.400000,37.227715
8,1.03,39.243708, -81.551617,619,08/13/2018,11:20:05,222.100000,37.250731
8,1.03,39.243807, -81.551763,638,08/13/2018,11:20:06,222.700000,37.032083
8,1.03,39.243907, -81.551910,654,08/13/2018,11:20:07,223.300000,37.354301
8,1.03,39.244013, -81.552057,661,08/13/2018,11:20:08,223.600000,39.184040
8,1.03,39.244122, -81.552207,678,08/13/2018,11:20:09,224.100000,38.378495
8,1.03,39.244230, -81.552352,696,08/13/2018,11:20:10,224.400000,38.953884
8,1.03,39.244340, -81.552493,712,08/13/2018,11:20:11,224.700000,38.067784
8,1.03,39.244455, -81.552628,730,08/13/2018,11:20:12,224.900000,38.436034
8,1.03,39.244575, -81.552760,747,08/13/2018,11:20:13,224.700000,39.310626
8,1.03,39.244702, -81.552885,789,08/13/2018,11:20:14,224.400000,40.012601
8,1.03,39.244833, -81.553013,785,08/13/2018,11:20:15,223.900000,41.174889
8,1.03,39.244968, -81.553143,821,08/13/2018,11:20:16,223.200000,41.681232
8,1.03,39.245105, -81.553273,817,08/13/2018,11:20:17,222.500000,42.049481
8,1.03,39.245245, -81.553402,835,08/13/2018,11:20:18,221.700000,42.325668
9,0.92,39.245385, -81.553533,858,08/13/2018,11:20:19,220.900000,42.532808
9,0.98,39.245525, -81.553665,879,08/13/2018,11:20:20,219.800000,43.062167
9,0.98,39.245665, -81.553793,882,08/13/2018,11:20:21,218.900000,42.785980
9,0.98,39.245805, -81.553923,919,08/13/2018,11:20:22,218.000000,42.866535
9,0.98,39.245943, -81.554055,926,08/13/2018,11:20:23,217.100000,42.901058
9,0.92,39.246080, -81.554190,934,08/13/2018,11:20:24,216.100000,42.832011
9,0.98,39.246363, -81.554452,9,08/13/2018,11:20:26,213.100000,43.200261
9,0.98,39.246507, -81.554578,6,08/13/2018,11:20:27,211.500000,43.142722
9,0.98,39.246653, -81.554702,23,08/13/2018,11:20:28,210.500000,43.453432
9,0.98,39.246803, -81.554815,17,08/13/2018,11:20:29,209.900000,42.832011
9,0.98,39.246958, -81.554908,53,08/13/2018,11:20:30,209.500000,42.912566
9,0.98,39.247125, -81.554977,63,08/13/2018,11:20:31,208.600000,42.947089
9,0.92,39.247297, -81.555018,66,08/13/2018,11:20:32,208.300000,43.407401
9,0.98,39.247467, -81.555038,104,08/13/2018,11:20:33,208.300000,43.464940
9,0.98,39.247640, -81.555033,95,08/13/2018,11:20:34,208.100000,42.878042
9,0.98,39.247812, -81.555010,141,08/13/2018,11:20:35,208.200000,42.958597
9,0.98,39.247982, -81.554975,139,08/13/2018,11:20:36,207.800000,42.970105
9,0.98,39.248158, -81.554937,154,08/13/2018,11:20:37,207.100000,44.569688
9,0.98,39.248338, -81.554897,171,08/13/2018,11:20:38,205.800000,45.133570
9,0.97,39.248518, -81.554853,188,08/13/2018,11:20:39,205.400000,45.524835
9,0.97,39.248712, -81.554810,196,08/13/2018,11:20:40,201.700000,46.077209
9,0.97,39.248893, -81.554763,213,08/13/2018,11:20:41,201.500000,46.065701
9,0.97,39.249075, -81.554718,236,08/13/2018,11:20:42,201.100000,46.019670
9,0.97,39.249257, -81.554673,263,08/13/2018,11:20:43,200.800000,45.962131
9,0.97,39.249438, -81.554630,300,08/13/2018,11:20:44,200.500000,45.766499
9,0.97,39.249618, -81.554588,288,08/13/2018,11:20:45,200.300000,45.904592
9,0.97,39.249795, -81.554548,335,08/13/2018,11:20:46,200.100000,44.339532
9,0.97,39.249970, -81.554512,322,08/13/2018,11:20:47,199.800000,43.649065
9,0.97,39.250143, -81.554475,350,08/13/2018,11:20:48,199.600000,43.384385
10,0.96,39.250315, -81.554440,402,08/13/2018,11:20:49,199.300000,43.062167
10,0.96,39.250482, -81.554405,398,08/13/2018,11:20:50,199.100000,42.728441
10,0.96,39.250647, -81.554372,428,08/13/2018,11:20:51,199.100000,41.174889
10,0.96,39.250812, -81.554338,441,08/13/2018,11:20:52,199.100000,41.439568
10,0.96,39.250977, -81.554308,458,08/13/2018,11:20:53,199.100000,41.451076
10,0.96,39.251145, -81.554275,475,08/13/2018,11:20:54,198.900000,41.105842
10,0.96,39.251312, -81.554243,482,08/13/2018,11:20:55,198.900000,42.233606
10,0.96,39.251478, -81.554213,515,08/13/2018,11:20:56,199.100000,41.554646
10,0.96,39.251643, -81.554185,545,08/13/2018,11:20:57,199.100000,41.750278
10,0.96,39.251807, -81.554158,567,08/13/2018,11:20:58,199.300000,40.737593
10,0.96,39.251967, -81.554133,599,08/13/2018,11:20:59,199.400000,39.563797
10,0.96,39.252122, -81.554112,602,08/13/2018,11:21:00,199.400000,40.150695
10,0.96,39.252275, -81.554090,622,08/13/2018,11:21:01,199.300000,38.263417
10,0.96,39.252428, -81.554070,622,08/13/2018,11:21:02,199.200000,38.263417
10,0.96,39.252577, -81.554053,665,08/13/2018,11:21:03,198.800000,37.480887
10,0.96,39.252728, -81.554037,687,08/13/2018,11:21:04,198.500000,37.181684
